,bundle,Cognitive_set1,Language_set1,Motor_set1,Cognitive_set2,Language_set2,Motor_set2,Cognitive_set3,Language_set3,Motor_set3
0,M1-Brainstem,0.9259329896907216,0.9259329896907216,0.8247749999999999,0.9517399253731343,0.9259329896907216,0.8320500000000001,0.5310818181818182,0.5143965517241379,0.37748076923076923
1,S1-Brainstem,0.9265143564356435,0.8247749999999999,0.9517399253731343,0.9517399253731343,0.5310818181818182,0.9517399253731343,0.510948,0.5354871428571429,0.8247749999999999
2,Paracentral-Brainstem,0.9517399253731343,0.83885625,0.9259329896907216,0.9517399253731343,0.8320500000000001,0.9508885714285714,0.2823954545454545,0.5143965517241379,0.4849875
3,M1-Caud,0.8247749999999999,0.9259329896907216,0.4849875,0.9259329896907216,0.9517399253731343,0.8320500000000001,0.39442499999999997,0.8247749999999999,0.5310818181818182
4,S1-Caud,0.9259329896907216,0.93740625,0.9259329896907216,0.9517399253731343,0.9259329896907216,0.9517399253731343,0.40364999999999995,0.9517399253731343,0.8247749999999999
5,Paracentral-Caud,0.8247749999999999,0.9259329896907216,0.8247749999999999,0.8911431818181819,0.9358252427184466,0.8320500000000001,0.39442499999999997,0.3132,0.7260157894736842
6,M1-Lenti,0.9517399253731343,0.9517399253731343,0.8320500000000001,0.9517399253731343,0.9517399253731343,0.8911431818181819,0.24057,0.24057,0.22410000000000002
7,S1-Lenti,0.9334720588235293,0.9517399253731343,0.9265143564356435,0.9517399253731343,0.9517399253731343,0.9517399253731343,0.22629375,0.5143965517241379,0.4849875
8,Paracentral-Lenti,0.9078649253731343,0.9259329896907216,0.8320500000000001,0.8247749999999999,0.9259329896907216,0.8247749999999999,0.18461249999999998,0.39442499999999997,0.22410000000000002
9,M1-Thalfus,0.7392807692307694,0.9259329896907216,0.8247749999999999,0.8247749999999999,0.9259329896907216,0.9259329896907216,0.18461249999999998,0.39442499999999997,0.22410000000000002
10,S1-Thalfus,0.9259329896907216,0.9259329896907216,0.9259329896907216,0.9259329896907216,0.9259329896907216,0.9517399253731343,0.4849875,0.9517399253731343,0.8247749999999999
11,Paracentral-Thalfus,0.9259329896907216,0.9517399253731343,0.9517399253731343,0.9517399253731343,0.9259329896907216,0.9517399253731343,0.39442499999999997,0.5310818181818182,0.5354871428571429
12,M1L-M1R,0.7260157894736842,0.8320500000000001,0.9259329896907216,0.8320500000000001,0.9259329896907216,0.9517399253731343,0.5865,0.8247749999999999,0.5143965517241379
13,S1L-S1R,0.9259329896907216,0.9517399253731343,0.9259329896907216,0.9259329896907216,0.9517399253731343,0.9259329896907216,0.8247749999999999,0.9517399253731343,0.9259329896907216
14,S1-M1,0.9517399253731343,0.9265143564356435,0.9259329896907216,0.9265143564356435,0.99592,0.8320500000000001,0.18461249999999998,0.4849875,0.18461249999999998
