,bundle,Cognitive-ScaledScore_set1,ReceptiveCom-ScaledScore_set1,ExpressiveCom-ScaledScore_set1,FineMotor-ScaledScore_set1,GrossMotor-ScaledScore_set1,Cognitive-ScaledScore_set2,ReceptiveCom-ScaledScore_set2,ExpressiveCom-ScaledScore_set2,FineMotor-ScaledScore_set2,GrossMotor-ScaledScore_set2,Cognitive-ScaledScore_set3,ReceptiveCom-ScaledScore_set3,ExpressiveCom-ScaledScore_set3,FineMotor-ScaledScore_set3,GrossMotor-ScaledScore_set3
0,M1-Brainstem,0.8947154605263158,0.963997641509434,0.7402826086956522,0.7110368852459016,0.9601515957446808,0.9755915492957747,0.963997641509434,0.6585635593220339,0.7591746575342466,0.963997641509434,0.586561224489796,0.586561224489796,0.586561224489796,0.13675,0.963997641509434
1,S1-Brainstem,0.9243770718232045,0.9532016129032258,0.4216935483870968,0.8498297872340426,0.9243770718232045,0.962547680412371,0.8498297872340426,0.27248684210526314,0.9243770718232045,0.8498297872340426,0.5458846153846153,0.5289428571428572,0.8448249999999999,0.38676724137931034,0.8498297872340426
2,Paracentral-Brainstem,0.963997641509434,0.962547680412371,0.586561224489796,0.912991935483871,0.962547680412371,0.963997641509434,0.9243770718232045,0.586561224489796,0.9110162337662338,0.9906414027149321,0.27248684210526314,0.586561224489796,0.6292366071428571,0.21551785714285715,0.9882891705069125
3,M1-Caud,0.8448249999999999,0.7516928571428572,0.9243770718232045,0.7280795454545455,0.586561224489796,0.8498297872340426,0.8448249999999999,0.8498297872340426,0.9243770718232045,0.7358823529411764,0.38676724137931034,0.5347094594594594,0.9601515957446808,0.38676724137931034,0.962547680412371
4,S1-Caud,0.856375,0.8498297872340426,0.5458846153846153,0.8498297872340426,0.9906414027149321,0.9532016129032258,0.9243770718232045,0.4292727272727273,0.9243770718232045,0.963997641509434,0.4216935483870968,0.8448249999999999,0.8498297872340426,0.586561224489796,0.9906414027149321
5,Paracentral-Caud,0.8448249999999999,0.9243770718232045,0.6292366071428571,0.4292727272727273,0.9243770718232045,0.8498297872340426,0.9243770718232045,0.6575043103448276,0.586561224489796,0.8921850000000001,0.38676724137931034,0.21393749999999997,0.6242205882352941,0.616185,0.9243770718232045
6,M1-Lenti,0.963997641509434,0.8498297872340426,0.8498297872340426,0.8498297872340426,0.8498297872340426,0.962547680412371,0.8448249999999999,0.8498297872340426,0.8498297872340426,0.8498297872340426,0.23934375,0.13675,0.6292366071428571,0.13675,0.856375
7,S1-Lenti,0.9243770718232045,0.8498297872340426,0.8498297872340426,0.8498297872340426,0.9882891705069125,0.962547680412371,0.8498297872340426,0.8498297872340426,0.9243770718232045,0.963997641509434,0.21551785714285715,0.372,0.8498297872340426,0.21393749999999997,0.9906414027149321
8,Paracentral-Lenti,0.8498297872340426,0.7648479729729729,0.8595152027027028,0.8498297872340426,0.8498297872340426,0.8448249999999999,0.7280795454545455,0.9243770718232045,0.8498297872340426,0.8498297872340426,0.13675,0.21393749999999997,0.8498297872340426,0.13675,0.8498297872340426
9,M1-Thalfus,0.7280795454545455,0.7591746575342466,0.8921850000000001,0.7280795454545455,0.9243770718232045,0.8448249999999999,0.7591746575342466,0.8947154605263158,0.8448249999999999,0.963997641509434,0.13675,0.23145,0.8448249999999999,0.13675,0.8595152027027028
10,S1-Thalfus,0.8498297872340426,0.963997641509434,0.7296044776119404,0.8448249999999999,0.9243770718232045,0.9243770718232045,0.9910997757847533,0.6575043103448276,0.8498297872340426,0.8498297872340426,0.5274926470588236,0.8498297872340426,0.8595152027027028,0.38676724137931034,0.8498297872340426
11,Paracentral-Thalfus,0.8595152027027028,0.8498297872340426,0.8498297872340426,0.9243770718232045,0.963997641509434,0.963997641509434,0.8418798701298701,0.9532016129032258,0.963997641509434,0.9910997757847533,0.38676724137931034,0.38676724137931034,0.8498297872340426,0.372,0.9968604910714286
12,M1L-M1R,0.7280795454545455,0.963997641509434,0.5347094594594594,0.8498297872340426,0.963997641509434,0.8498297872340426,0.99882,0.586561224489796,0.9532016129032258,0.963997641509434,0.6292366071428571,0.705375,0.9243770718232045,0.38676724137931034,0.9243770718232045
13,S1L-S1R,0.8973529411764705,0.8498297872340426,0.8498297872340426,0.9243770718232045,0.9243770718232045,0.8498297872340426,0.8498297872340426,0.853637323943662,0.8498297872340426,0.9532016129032258,0.8448249999999999,0.8498297872340426,0.8498297872340426,0.8498297872340426,0.963997641509434
14,S1-M1,0.9882891705069125,0.9243770718232045,0.6292366071428571,0.9882891705069125,0.8448249999999999,0.9243770718232045,0.8498297872340426,0.8137800000000001,0.9243770718232045,0.8418798701298701,0.13675,0.2437941176470588,0.8498297872340426,0.13675,0.8498297872340426
