,Cognitive-ScaledScore_set1,ReceptiveCom-ScaledScore_set1,ExpressiveCom-ScaledScore_set1,FineMotor-ScaledScore_set1,GrossMotor-ScaledScore_set1,Cognitive-ScaledScore_set2,ReceptiveCom-ScaledScore_set2,ExpressiveCom-ScaledScore_set2,FineMotor-ScaledScore_set2,GrossMotor-ScaledScore_set2,Cognitive-ScaledScore_set3,ReceptiveCom-ScaledScore_set3,ExpressiveCom-ScaledScore_set3,FineMotor-ScaledScore_set3,GrossMotor-ScaledScore_set3
0,-0.08028,-0.02069,0.18588,-0.20012,-0.03913,-0.01489,0.03219,0.20931,-0.1795,-0.02171,-0.23315,-0.23719,-0.23365,-0.41419,-0.02369
1,-0.06317,0.04173,0.28788,-0.11892,0.06511,0.03353,0.12536,0.34417,-0.05781,0.14057,-0.25515,-0.26488,-0.15003,-0.3109,0.11918
2,0.01805,0.03333,0.24616,-0.0749,-0.03533,0.02983,0.05687,0.23907,-0.07608,-0.00525,-0.34214,-0.24254,-0.21897,-0.37358,0.01053
3,-0.16101,-0.18322,0.05505,-0.19131,-0.23873,-0.1022,-0.15636,0.11843,-0.0509,-0.18771,-0.2975,-0.26029,-0.03886,-0.31184,-0.03567
4,-0.09336,-0.10014,0.256,-0.12833,-0.00601,-0.04191,-0.07093,0.28283,-0.05199,0.02731,-0.28931,-0.14861,0.11142,-0.24379,0.00713
5,0.15651,-0.05074,0.21953,0.28272,-0.07037,0.12056,-0.06239,0.21205,0.23907,-0.08324,-0.30068,-0.378,-0.22528,-0.22782,-0.05929
6,-0.02343,-0.14374,0.10482,-0.10903,-0.11503,-0.03364,-0.14797,0.10036,-0.1024,-0.09939,-0.35802,-0.41602,-0.22171,-0.46428,-0.09303
7,-0.05865,-0.12667,0.10688,-0.09873,0.00954,-0.03548,-0.10924,0.12512,-0.06682,0.02927,-0.37009,-0.31915,-0.10819,-0.37809,0.00602
8,-0.11671,-0.17658,0.09004,-0.104,-0.1421,-0.15127,-0.19209,0.05139,-0.13453,-0.12518,-0.41191,-0.3828,-0.14185,-0.43309,-0.12511
9,-0.19128,-0.18005,0.08242,-0.19233,-0.05581,-0.15471,-0.17851,0.08039,-0.14792,-0.02288,-0.41518,-0.36306,-0.15794,-0.45509,-0.09155
10,-0.10737,-0.01801,0.18978,-0.15449,0.05196,-0.06819,0.00345,0.21085,-0.10085,0.1029,-0.26704,-0.09665,0.08957,-0.30464,0.11483
11,0.08906,-0.10591,0.10812,0.06691,-0.02344,0.01788,-0.16467,0.04423,-0.02121,-0.00398,-0.30156,-0.29938,-0.1061,-0.3215,-0.00147
12,0.19617,0.03076,0.26042,0.10843,-0.02342,0.14433,-0.00023,0.23502,0.04369,-0.01917,-0.21736,-0.20219,-0.06509,-0.3073,-0.05191
13,-0.07901,-0.11051,0.12579,-0.06311,-0.05854,-0.09745,-0.11865,0.0952,-0.1048,-0.04221,-0.15144,-0.0976,0.09675,-0.12206,0.02491
14,0.01121,-0.06196,0.21725,0.00912,-0.14871,-0.06119,-0.13235,0.16953,-0.0659,-0.16377,-0.4221,-0.35393,-0.11603,-0.46065,-0.13678
