,bundle,Cognitive_set1,Language_set1,Motor_set1,Cognitive_set2,Language_set2,Motor_set2,Cognitive_set3,Language_set3,Motor_set3
0,M1-Brainstem,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.0216,0.162,0.162
1,S1-Brainstem,0.9948469465648855,0.8446950000000001,0.9948469465648855,0.9948469465648855,0.71982,0.9948469465648855,0.162,0.2651625,0.3391758620689655
2,Paracentral-Brainstem,0.9948469465648855,0.71982,0.9948469465648855,0.9948469465648855,0.9006910714285715,0.9948469465648855,0.0297,0.162,0.162
3,M1-Caud,0.9948469465648855,0.9948469465648855,0.751863829787234,0.9948469465648855,0.9978225563909775,0.9948469465648855,0.6717731707317074,0.9948469465648855,0.9285975000000001
4,S1-Caud,0.9948469465648855,0.96075,0.9948469465648855,0.9948469465648855,0.9006910714285715,0.9948469465648855,0.2618413043478261,0.9948469465648855,0.98210390625
5,Paracentral-Caud,0.434775,0.9948469465648855,0.71982,0.71982,0.9948469465648855,0.9285975000000001,0.3812727272727273,0.33795,0.434775
6,M1-Lenti,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9978225563909775,0.9948469465648855,0.17557105263157893,0.162,0.162
7,S1-Lenti,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.162,0.1787522727272727,0.375075
8,Paracentral-Lenti,0.9948469465648855,0.99963,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.17607857142857145,0.162,0.162
9,M1-Thalfus,0.9948469465648855,0.9948469465648855,0.99963,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.162,0.2889519230769231,0.281934
10,S1-Thalfus,0.9948469465648855,0.9192078947368422,0.9948469465648855,0.9948469465648855,0.752371875,0.8582558823529413,0.3812727272727273,0.9006910714285715,0.9285975000000001
11,Paracentral-Thalfus,0.5936447368421052,0.9948469465648855,0.7451119565217391,0.9006910714285715,0.9948469465648855,0.96075,0.4116308823529412,0.5390513513513514,0.3812727272727273
12,M1L-M1R,0.3391758620689655,0.9006910714285715,0.6414576923076923,0.64796625,0.9948469465648855,0.8188989795918367,0.162,0.162,0.17607857142857145
13,S1L-S1R,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.9948469465648855
14,S1-M1,0.9948469465648855,0.9948469465648855,0.96075,0.9948469465648855,0.9948469465648855,0.9948469465648855,0.162,0.162,0.162
