,bundle,Cognitive-ScaledScore_set1,ReceptiveCom-ScaledScore_set1,ExpressiveCom-ScaledScore_set1,FineMotor-ScaledScore_set1,GrossMotor-ScaledScore_set1,Cognitive-ScaledScore_set2,ReceptiveCom-ScaledScore_set2,ExpressiveCom-ScaledScore_set2,FineMotor-ScaledScore_set2,GrossMotor-ScaledScore_set2,Cognitive-ScaledScore_set3,ReceptiveCom-ScaledScore_set3,ExpressiveCom-ScaledScore_set3,FineMotor-ScaledScore_set3,GrossMotor-ScaledScore_set3
0,M1-Brainstem,-0.11149,0.03943,0.23746,-0.20049,0.11266,-0.11114,0.026,0.22605,-0.15788,0.11072,-0.69515,-0.55357,-0.50136,-0.68276,0.08188
1,S1-Brainstem,-0.03929,0.1029,0.34234,-0.11406,0.18889,0.01879,0.13759,0.37329,-0.04037,0.21403,-0.50839,-0.46385,-0.3066,-0.55971,0.12099
2,Paracentral-Brainstem,0.03747,0.14288,0.36745,-0.02285,0.06188,-0.02197,0.0898,0.30514,-0.05879,0.0497,-0.66068,-0.45241,-0.46814,-0.69106,0.02601
3,M1-Caud,-0.06537,-0.22469,0.06131,-0.09289,-0.29512,0.08528,-0.1308,0.19767,0.09996,-0.18975,-0.26882,-0.15109,-0.11938,-0.32979,0.11959
4,S1-Caud,-0.01157,0.02614,0.34037,-0.00963,0.05986,0.06106,0.04347,0.38866,0.10502,0.07792,-0.41346,-0.12135,0.02265,-0.30904,0.13306
5,Paracentral-Caud,0.32945,0.0248,0.20972,0.35742,-0.06209,0.24944,-0.00702,0.18749,0.27417,-0.07693,-0.35295,-0.38784,-0.3331,-0.41972,-0.01672
6,M1-Lenti,0.11745,-0.08964,0.08128,0.04686,0.07076,0.10693,-0.07899,0.09877,0.04265,0.08193,-0.45716,-0.51008,-0.40408,-0.6189,0.0226
7,S1-Lenti,0.04534,-0.05872,0.15964,0.02942,0.16445,0.07356,-0.04285,0.18305,0.05928,0.17342,-0.52276,-0.47979,-0.35918,-0.57287,0.14622
8,Paracentral-Lenti,0.12113,-0.04272,0.06447,0.02765,0.07116,0.04366,-0.07324,0.02287,-0.02935,0.0856,-0.45097,-0.47209,-0.41044,-0.62286,-0.02497
9,M1-Thalfus,-0.00967,-0.094,0.09273,-0.13827,0.17341,0.05999,-0.03018,0.15745,-0.0672,0.22633,-0.50094,-0.43026,-0.30646,-0.57837,0.07578
10,S1-Thalfus,0.02542,0.09407,0.28792,-0.00545,0.19776,0.09001,0.14505,0.33247,0.08593,0.25186,-0.35277,-0.22454,-0.13436,-0.47551,0.33436
11,Paracentral-Thalfus,0.29141,0.0514,0.24647,0.21072,0.1203,0.19144,-0.01308,0.18272,0.0821,0.16024,-0.34034,-0.32172,-0.24972,-0.53655,0.10444
12,M1L-M1R,0.37478,0.11078,0.28463,0.30563,0.06578,0.27585,0.04597,0.23413,0.21477,0.08957,-0.47224,-0.49148,-0.43471,-0.55765,-0.03407
13,S1L-S1R,0.09111,-0.07407,0.08344,0.06896,0.033,0.01119,-0.13104,0.03244,-0.00494,0.06045,-0.01486,-0.02348,0.11248,-0.05644,0.17043
14,S1-M1,0.14099,-0.04307,0.22473,0.14633,0.08705,0.02729,-0.14848,0.1593,0.01473,0.08266,-0.55923,-0.54119,-0.34565,-0.68445,0.1004
