,tract,set1,set2,set3
0,M1-Brainstem,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
1,S1-Brainstem,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
2,Paracentral-Brainstem,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
3,M1-Caud,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
4,S1-Caud,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
5,Paracentral-Caud,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
6,M1-Lenti,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
7,S1-Lenti,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
8,Paracentral-Lenti,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
9,M1-Thalfus,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
10,S1-Thalfus,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
11,Paracentral-Thalfus,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
12,M1L-M1R,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
13,S1L-S1R,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
14,S1-M1,5.644723716953641e-07,5.644723716953641e-07,5.644723716953641e-07
