,tract,metric,uncorrected_p,corrected_p_bonf,corrected_p_fdr_bh,corrected_p_holm
0,M1L-Brainstem,AD,0.001058,0.279312,0.0015097945945945943,0.08463999999999999
1,M1L-Brainstem,FA,0.039355,1.0,0.04497714285714286,1.0
2,M1L-Brainstem,MD,2.5e-05,0.0066,5.116279069767442e-05,0.003425
3,M1L-Brainstem,NDI_post,0.000544,0.143616,0.000839859649122807,0.051136
4,M1L-Brainstem,NDI_pre,0.001315,0.34715999999999997,0.0017987564766839379,0.09468
5,M1L-Brainstem,ODI_post,0.051332,1.0,0.058161579399141634,1.0
6,M1L-Brainstem,ODI_pre,0.006589,1.0,0.008090679069767442,0.32945
7,M1L-Brainstem,RD,6.4e-05,0.016895999999999998,0.00011898591549295774,0.007871999999999999
8,M1L-CaudL,AD,4.9e-05,0.012936,9.373913043478261e-05,0.006222999999999999
9,M1L-CaudL,FA,0.59575,1.0,0.6096046511627907,1.0
10,M1L-CaudL,MD,0.001097,0.28960800000000003,0.0015487058823529412,0.085873
11,M1L-CaudL,NDI_post,0.000928,0.244992,0.001353546961325967,0.077952
12,M1L-CaudL,NDI_pre,0.001116,0.294624,0.0015671489361702127,0.08593200000000001
13,M1L-CaudL,ODI_post,0.055367,1.0,0.06246533333333333,1.0
14,M1L-CaudL,ODI_pre,7.1e-05,0.018744,0.00012664864864864867,0.008307
15,M1L-CaudL,RD,0.005292,1.0,0.006590037735849057,0.284472
16,M1L-LentiL,AD,1.5e-05,0.00396,3.327731092436975e-05,0.00219
17,M1L-LentiL,FA,0.001158,0.305712,0.0016090105263157893,0.08685
18,M1L-LentiL,MD,1.1e-05,0.002904,2.5252173913043476e-05,0.001661
19,M1L-LentiL,NDI_post,1.2e-05,0.0031680000000000002,2.7076923076923078e-05,0.001788
20,M1L-LentiL,NDI_pre,1.1e-05,0.002904,2.5252173913043476e-05,0.001661
21,M1L-LentiL,ODI_post,0.006641,1.0,0.008116777777777778,0.32945
22,M1L-LentiL,ODI_pre,0.002067,0.545688,0.0027559999999999998,0.138489
23,M1L-LentiL,RD,2e-05,0.005280000000000001,4.292682926829269e-05,0.00286
24,M1L-M1R,AD,9e-06,0.002376,2.1214285714285713e-05,0.001404
25,M1L-M1R,FA,0.0,0.0,0.0,0.0
26,M1L-M1R,MD,0.0,0.0,0.0,0.0
27,M1L-M1R,NDI_post,0.0,0.0,0.0,0.0
28,M1L-M1R,NDI_pre,0.0,0.0,0.0,0.0
29,M1L-M1R,ODI_post,0.000943,0.248952,0.0013678681318681318,0.078269
30,M1L-M1R,ODI_pre,0.000897,0.236808,0.0013156,0.07624500000000001
31,M1L-M1R,RD,0.0,0.0,0.0,0.0
32,M1L-ParacentralL,AD,0.001475,0.38939999999999997,0.002007216494845361,0.104725
33,M1L-ParacentralL,FA,0.001271,0.335544,0.001749,0.094054
34,M1L-ParacentralL,MD,4e-06,0.0010559999999999999,1.0455445544554456e-05,0.0006879999999999999
35,M1L-ParacentralL,NDI_post,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
36,M1L-ParacentralL,NDI_pre,2e-06,0.0005279999999999999,6.36144578313253e-06,0.000396
37,M1L-ParacentralL,ODI_post,0.926546,1.0,0.9300689885931559,1.0
38,M1L-ParacentralL,ODI_pre,0.43305,1.0,0.4518782608695652,1.0
39,M1L-ParacentralL,RD,1e-06,0.00026399999999999997,4e-06,0.000222
40,M1L-ThalfusL,AD,1.6e-05,0.0042239999999999995,3.490909090909091e-05,0.00232
41,M1L-ThalfusL,FA,0.125368,1.0,0.13620227160493828,1.0
42,M1L-ThalfusL,MD,7.3e-05,0.019272,0.00012848,0.008468
43,M1L-ThalfusL,NDI_post,7.3e-05,0.019272,0.00012848,0.008468
44,M1L-ThalfusL,NDI_pre,5.4e-05,0.014256,0.00010256115107913669,0.006804
45,M1L-ThalfusL,ODI_post,0.014334,1.0,0.016893642857142857,0.5876939999999999
46,M1L-ThalfusL,ODI_pre,0.000558,0.147312,0.0008564651162790699,0.051894
47,M1L-ThalfusL,RD,0.000348,0.091872,0.0005568,0.0348
48,M1R-Brainstem,AD,2.9e-05,0.007656,5.7134328358208955e-05,0.003799
