,region1,region2,corrected_p_set1,corrected_p_set2,corrected_p_set3
0,M1-Brainstem,S1-Brainstem,0.00447,0.01767,6E-05
1,M1-Brainstem,Paracentral-Brainstem,0.32156,0.27154,0.94016
2,M1-Brainstem,M1-Caud,0.36985,0.28711,0.00475
3,M1-Brainstem,S1-Caud,0.00052,0.00034,0.00922
4,M1-Brainstem,Paracentral-Caud,0.2012,0.27488,0.02287
5,M1-Brainstem,M1-Lenti,0.00052,0.00034,2E-05
6,M1-Brainstem,S1-Lenti,0,0,0
7,M1-Brainstem,Paracentral-Lenti,0.00383,0.00295,0.00013
8,M1-Brainstem,M1-Thalfus,0.03596,0.06871,0.01358
9,M1-Brainstem,S1-Thalfus,6E-05,0.0001,4E-05
10,M1-Brainstem,Paracentral-Thalfus,0.10846,0.09304,0.01243
11,M1-Brainstem,M1L-M1R,3E-05,2E-05,0
12,M1-Brainstem,S1L-S1R,1E-05,0,0.0065
13,M1-Brainstem,S1-M1,0,0,0
14,S1-Brainstem,Paracentral-Brainstem,0.08329,0.20362,0.00346
15,S1-Brainstem,M1-Caud,0.47272,0.69201,0.55355
16,S1-Brainstem,S1-Caud,0.07891,0.02461,0.89894
17,S1-Brainstem,Paracentral-Caud,0.71477,0.69785,0.96954
18,S1-Brainstem,M1-Lenti,0.1156,0.08026,0.01594
19,S1-Brainstem,S1-Lenti,5E-05,3E-05,0
20,S1-Brainstem,Paracentral-Lenti,0.31944,0.23204,0.07179
21,S1-Brainstem,M1-Thalfus,0.75519,0.82755,0.94016
22,S1-Brainstem,S1-Thalfus,0.00882,0.00785,0.13114
23,S1-Brainstem,Paracentral-Thalfus,0.92609,0.77441,0.89894
24,S1-Brainstem,M1L-M1R,0.00387,0.00149,0.01962
25,S1-Brainstem,S1L-S1R,0.00154,0.00032,0.11678
26,S1-Brainstem,S1-M1,0,0,0
27,Paracentral-Brainstem,M1-Caud,0.66937,0.62113,0.0019
28,Paracentral-Brainstem,S1-Caud,0.00034,0.00036,0.00585
29,Paracentral-Brainstem,Paracentral-Caud,0.31944,0.52997,0.00261
30,Paracentral-Brainstem,M1-Lenti,0.00102,0.0012,1E-05
31,Paracentral-Brainstem,S1-Lenti,0,0,0
32,Paracentral-Brainstem,Paracentral-Lenti,0.0025,0.00287,0
33,Paracentral-Brainstem,M1-Thalfus,0.10788,0.22231,0.0117
