,region1,region2,corrected_p_set1,corrected_p_set2,corrected_p_set3
0,M1-Brainstem,S1-Brainstem,0.03802,0.16253,0.02561
1,M1-Brainstem,Paracentral-Brainstem,0.29026,0.48884,0.26927
2,M1-Brainstem,M1-Caud,0.11214,0.20463,0.51877
3,M1-Brainstem,S1-Caud,0.12155,0.21333,0.42025
4,M1-Brainstem,Paracentral-Caud,0.03311,0.1867,0.93296
5,M1-Brainstem,M1-Lenti,0.06464,0.2029,0.97158
6,M1-Brainstem,S1-Lenti,0.00463,0.03885,0.41895
7,M1-Brainstem,Paracentral-Lenti,0.09017,0.248,0.72939
8,M1-Brainstem,M1-Thalfus,0.71551,0.84462,0.09647
9,M1-Brainstem,S1-Thalfus,0.13562,0.25185,0.53402
10,M1-Brainstem,Paracentral-Thalfus,0.11822,0.32872,0.91572
11,M1-Brainstem,M1L-M1R,0.00553,0.02082,0.48344
12,M1-Brainstem,S1L-S1R,0.00724,0.00975,0.51951
13,M1-Brainstem,S1-M1,2E-05,0.00029,0.07482
14,S1-Brainstem,Paracentral-Brainstem,0.31594,0.48883,0.00047
15,S1-Brainstem,M1-Caud,0.90025,0.9397,0.52452
16,S1-Brainstem,S1-Caud,0.81316,0.84,0.00917
17,S1-Brainstem,Paracentral-Caud,0.44967,0.81849,0.16997
18,S1-Brainstem,M1-Lenti,0.88851,0.9749,0.07569
19,S1-Brainstem,S1-Lenti,0.25268,0.43966,0.42025
20,S1-Brainstem,Paracentral-Lenti,0.81814,0.94725,0.04034
21,S1-Brainstem,M1-Thalfus,0.33556,0.18545,7E-05
22,S1-Brainstem,S1-Thalfus,0.89304,0.9574,0.00104
23,S1-Brainstem,Paracentral-Thalfus,0.76553,0.94725,0.12771
24,S1-Brainstem,M1L-M1R,0.14084,0.20463,0.53402
25,S1-Brainstem,S1L-S1R,0.29633,0.18545,0.01662
26,S1-Brainstem,S1-M1,0.00804,0.02126,0.88121
27,Paracentral-Brainstem,M1-Caud,0.39963,0.48884,0.16997
28,Paracentral-Brainstem,S1-Caud,0.27343,0.40771,0.89555
29,Paracentral-Brainstem,Paracentral-Caud,0.09809,0.32341,0.42025
30,Paracentral-Brainstem,M1-Lenti,0.27343,0.49472,0.181
31,Paracentral-Brainstem,S1-Lenti,0.02714,0.14972,0.00268
32,Paracentral-Brainstem,Paracentral-Lenti,0.18849,0.44665,0.51877
33,Paracentral-Brainstem,M1-Thalfus,0.88851,0.49472,0.42025
34,Paracentral-Brainstem,S1-Thalfus,0.34246,0.52397,0.52307
35,Paracentral-Brainstem,Paracentral-Thalfus,0.18457,0.45942,0.42025
36,Paracentral-Brainstem,M1L-M1R,0.02966,0.07428,0.181
37,Paracentral-Brainstem,S1L-S1R,0.02871,0.0231,0.75443
38,Paracentral-Brainstem,S1-M1,0.00029,0.00317,0.00104
39,M1-Caud,S1-Caud,0.88851,0.94357,0.16053
40,M1-Caud,Paracentral-Caud,0.47111,0.93179,0.42025
41,M1-Caud,M1-Lenti,0.94211,0.93606,0.43711
42,M1-Caud,S1-Lenti,0.33437,0.6445,0.91572
43,M1-Caud,Paracentral-Lenti,0.88851,0.9749,0.30543
44,M1-Caud,M1-Thalfus,0.17677,0.09022,0.03437
45,M1-Caud,S1-Thalfus,0.99847,0.96056,0.25774
46,M1-Caud,Paracentral-Thalfus,0.88851,0.9749,0.51951
47,M1-Caud,M1L-M1R,0.06364,0.16777,0.97782
48,M1-Caud,S1L-S1R,0.4157,0.32872,0.1804
49,M1-Caud,S1-M1,0.00483,0.02082,0.42025
50,S1-Caud,Paracentral-Caud,0.45021,0.9749,0.41084
51,S1-Caud,M1-Lenti,0.88851,0.79979,0.24587
52,S1-Caud,S1-Lenti,0.41601,0.77291,0.01889
53,S1-Caud,Paracentral-Lenti,0.95468,0.88672,0.58141
54,S1-Caud,M1-Thalfus,0.14084,0.10223,0.43711
55,S1-Caud,S1-Thalfus,0.7947,0.79979,0.67831
56,S1-Caud,Paracentral-Thalfus,0.96484,0.93277,0.43711
57,S1-Caud,M1L-M1R,0.14795,0.25469,0.1804
58,S1-Caud,S1L-S1R,0.33626,0.20463,0.8594
59,S1-Caud,S1-M1,0.00463,0.02082,0.0052
60,Paracentral-Caud,M1-Lenti,0.30538,0.6445,0.8684
61,Paracentral-Caud,S1-Lenti,0.89304,0.79979,0.2739
62,Paracentral-Caud,Paracentral-Lenti,0.38122,0.79098,0.70118
63,Paracentral-Caud,M1-Thalfus,0.01859,0.03884,0.19453
64,Paracentral-Caud,S1-Thalfus,0.36235,0.80036,0.67831
65,Paracentral-Caud,Paracentral-Thalfus,0.63672,0.86926,0.96287
66,Paracentral-Caud,M1L-M1R,0.27343,0.21333,0.41084
67,Paracentral-Caud,S1L-S1R,0.89225,0.25185,0.2717
68,Paracentral-Caud,S1-M1,0.00463,0.00523,0.03348
69,M1-Lenti,S1-Lenti,0.22398,0.33351,0.1804
70,M1-Lenti,Paracentral-Lenti,0.88851,0.94357,0.51213
71,M1-Lenti,M1-Thalfus,0.0597,0.02379,0.02561
72,M1-Lenti,S1-Thalfus,0.94211,0.9749,0.51531
73,M1-Lenti,Paracentral-Thalfus,0.88422,0.94725,0.8684
74,M1-Lenti,M1L-M1R,0.01459,0.02607,0.43711
75,M1-Lenti,S1L-S1R,0.28155,0.10802,0.2717
76,M1-Lenti,S1-M1,2E-05,0.00023,0.01662
77,S1-Lenti,Paracentral-Lenti,0.36235,0.48884,0.03156
78,S1-Lenti,M1-Thalfus,0.00553,0.01077,0.00047
79,S1-Lenti,S1-Thalfus,0.14795,0.32872,0.02382
80,S1-Lenti,Paracentral-Thalfus,0.54406,0.60366,0.24587
81,S1-Lenti,M1L-M1R,0.34697,0.40771,0.92544
82,S1-Lenti,S1L-S1R,0.98464,0.48884,0.02031
83,S1-Lenti,S1-M1,0.00763,0.02082,0.42025
84,Paracentral-Lenti,M1-Thalfus,0.11035,0.07854,0.23349
85,Paracentral-Lenti,S1-Thalfus,0.88851,0.9749,0.91079
86,Paracentral-Lenti,Paracentral-Thalfus,0.89304,0.9749,0.70118
87,Paracentral-Lenti,M1L-M1R,0.12155,0.18545,0.41084
88,Paracentral-Lenti,S1L-S1R,0.29954,0.10802,0.70118
89,Paracentral-Lenti,S1-M1,0.00268,0.00583,0.01469
90,M1-Thalfus,S1-Thalfus,0.17135,0.10559,0.18823
91,M1-Thalfus,Paracentral-Thalfus,0.14084,0.14972,0.20973
