,bundle,Cognitive_set1,Language_set1,Motor_set1,Cognitive_set2,Language_set2,Motor_set2,Cognitive_set3,Language_set3,Motor_set3
0,M1-Brainstem,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692
1,S1-Brainstem,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883
2,Paracentral-Brainstem,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.98883
3,M1-Caud,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692
4,S1-Caud,0.9905157692307692,0.99423,0.9905157692307692,0.9905157692307692,0.99423,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883
5,Paracentral-Caud,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.99423,0.9905157692307692,0.98883
6,M1-Lenti,0.98883,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883
7,S1-Lenti,0.98883,0.9905157692307692,0.98883,0.98883,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883
8,Paracentral-Lenti,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883
9,M1-Thalfus,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692
10,S1-Thalfus,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.98883
11,Paracentral-Thalfus,0.9905157692307692,0.9905157692307692,0.99423,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692
12,M1L-M1R,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.98883,0.98883
13,S1L-S1R,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883,0.9905157692307692,0.9905157692307692,0.98883
14,S1-M1,0.98883,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.9905157692307692,0.99423,0.9905157692307692
