,tract,set1,set2,set3
0,M1-Brainstem,6.734870839251781e-09,3.251227354878969e-10,3.458382548706937e-10
1,S1-Brainstem,4.807211884482e-08,3.979905072068209e-09,2.7704756496314052e-11
2,Paracentral-Brainstem,8.733790689205771e-08,5.6879982999244425e-09,1.6946728558096046e-09
3,M1-Caud,8.054525115585559e-10,4.705941134033753e-11,4.341399824603166e-09
4,S1-Caud,7.1389010810246225e-09,1.7836123594850796e-09,7.63206519733994e-10
5,Paracentral-Caud,7.188517503703104e-11,4.419075420192529e-11,1.6946728558096046e-09
6,M1-Lenti,4.419075420192529e-11,4.440693351689435e-12,4.992930827761882e-10
7,S1-Lenti,3.026474737043439e-10,1.5008031342196562e-10,2.028916246981868e-10
8,Paracentral-Lenti,7.44018166451563e-10,1.4173903677843334e-10,3.979905072068209e-09
9,M1-Thalfus,1.5772810735942143e-09,4.4295415606838385e-10,7.29398615543999e-10
10,S1-Thalfus,1.6946728558096046e-09,1.5008031342196562e-10,3.4362550695269954e-10
11,Paracentral-Thalfus,5.4937566895016265e-08,1.836522332052175e-08,1.8853283191440577e-07
12,M1L-M1R,6.885381653640704e-10,4.992930827761882e-10,3.1394369586756096e-09
13,S1L-S1R,4.419075420192529e-11,1.4226631014027451e-12,4.419075420192529e-11
14,S1-M1,1.4226631014027451e-12,1.4226631014027451e-12,2.0273696400228902e-12
