,region1,region2,corrected_p_set1,corrected_p_set2,corrected_p_set3,region1_set1_mean,region2_set1_mean,region1_set2_mean,region2_set2_mean,region1_set3_mean,region2_set3_mean
0,M1-Brainstem,S1-Brainstem,0.00447,0.01767,6e-05,1.2680424253235283,1.6569665408419831,1.491493702446984,1.7804722190519975,1.7047570369706346,2.1613018755525624
1,M1-Brainstem,Paracentral-Brainstem,0.32156,0.27154,0.94016,1.2680424253235283,1.435655108287092,1.491493702446984,1.6124056793198063,1.7047570369706346,1.439009856997847
2,M1-Brainstem,M1-Caud,0.36985,0.28711,0.00475,1.2680424253235283,1.701805965761697,1.491493702446984,1.8379609065947553,1.7047570369706346,1.9352813173338559
3,M1-Brainstem,S1-Caud,0.00052,0.00034,0.00922,1.2680424253235283,1.7833485903210817,1.491493702446984,1.8918857528443846,1.7047570369706346,1.470492020934572
4,M1-Brainstem,Paracentral-Caud,0.2012,0.27488,0.02287,1.2680424253235283,1.937980993420645,1.491493702446984,1.9022046727400277,1.7047570369706346,1.6730481831034218
5,M1-Brainstem,M1-Lenti,0.00052,0.00034,2e-05,1.2680424253235283,1.7256435746778451,1.491493702446984,1.792370307339664,1.7047570369706346,1.7142317414755406
6,M1-Brainstem,S1-Lenti,0.0,0.0,0.0,1.2680424253235283,1.9834085455689197,1.491493702446984,2.0014975647161988,1.7047570369706346,1.9811860703277788
7,M1-Brainstem,Paracentral-Lenti,0.00383,0.00295,0.00013,1.2680424253235283,1.765830802603035,1.491493702446984,1.8233614002449978,1.7047570369706346,1.5798906343981873
8,M1-Brainstem,M1-Thalfus,0.03596,0.06871,0.01358,1.2680424253235283,1.3822077159082047,1.491493702446984,1.4176017508501535,1.7047570369706346,1.3334962922600606
9,M1-Brainstem,S1-Thalfus,6e-05,0.0001,4e-05,1.2680424253235283,1.702252632330378,1.491493702446984,1.8100742797863323,1.7047570369706346,1.5474433507815186
10,M1-Brainstem,Paracentral-Thalfus,0.10846,0.09304,0.01243,1.2680424253235283,1.7980529846507451,1.491493702446984,1.8291328237664368,1.7047570369706346,1.6584312349107126
11,M1-Brainstem,M1L-M1R,3e-05,2e-05,0.0,1.2680424253235283,2.300693984593693,1.491493702446984,2.3032283253476753,1.7047570369706346,1.9413750502711478
12,M1-Brainstem,S1L-S1R,1e-05,0.0,0.0065,1.2680424253235283,1.9783712770506792,1.491493702446984,2.1534207211664183,1.7047570369706346,1.508465060537811
13,M1-Brainstem,S1-M1,0.0,0.0,0.0,1.2680424253235283,2.7107985053313124,1.491493702446984,2.6674999236478785,1.7047570369706346,2.2102192623147423
14,S1-Brainstem,Paracentral-Brainstem,0.08329,0.20362,0.00346,1.6569665408419831,1.435655108287092,1.7804722190519975,1.6124056793198063,2.1613018755525624,1.439009856997847
15,S1-Brainstem,M1-Caud,0.47272,0.69201,0.55355,1.6569665408419831,1.701805965761697,1.7804722190519975,1.8379609065947553,2.1613018755525624,1.9352813173338559
16,S1-Brainstem,S1-Caud,0.07891,0.02461,0.89894,1.6569665408419831,1.7833485903210817,1.7804722190519975,1.8918857528443846,2.1613018755525624,1.470492020934572
17,S1-Brainstem,Paracentral-Caud,0.71477,0.69785,0.96954,1.6569665408419831,1.937980993420645,1.7804722190519975,1.9022046727400277,2.1613018755525624,1.6730481831034218
18,S1-Brainstem,M1-Lenti,0.1156,0.08026,0.01594,1.6569665408419831,1.7256435746778451,1.7804722190519975,1.792370307339664,2.1613018755525624,1.7142317414755406
19,S1-Brainstem,S1-Lenti,5e-05,3e-05,0.0,1.6569665408419831,1.9834085455689197,1.7804722190519975,2.0014975647161988,2.1613018755525624,1.9811860703277788
20,S1-Brainstem,Paracentral-Lenti,0.31944,0.23204,0.07179,1.6569665408419831,1.765830802603035,1.7804722190519975,1.8233614002449978,2.1613018755525624,1.5798906343981873
21,S1-Brainstem,M1-Thalfus,0.75519,0.82755,0.94016,1.6569665408419831,1.3822077159082047,1.7804722190519975,1.4176017508501535,2.1613018755525624,1.3334962922600606
22,S1-Brainstem,S1-Thalfus,0.00882,0.00785,0.13114,1.6569665408419831,1.702252632330378,1.7804722190519975,1.8100742797863323,2.1613018755525624,1.5474433507815186
23,S1-Brainstem,Paracentral-Thalfus,0.92609,0.77441,0.89894,1.6569665408419831,1.7980529846507451,1.7804722190519975,1.8291328237664368,2.1613018755525624,1.6584312349107126
24,S1-Brainstem,M1L-M1R,0.00387,0.00149,0.01962,1.6569665408419831,2.300693984593693,1.7804722190519975,2.3032283253476753,2.1613018755525624,1.9413750502711478
25,S1-Brainstem,S1L-S1R,0.00154,0.00032,0.11678,1.6569665408419831,1.9783712770506792,1.7804722190519975,2.1534207211664183,2.1613018755525624,1.508465060537811
26,S1-Brainstem,S1-M1,0.0,0.0,0.0,1.6569665408419831,2.7107985053313124,1.7804722190519975,2.6674999236478785,2.1613018755525624,2.2102192623147423
27,Paracentral-Brainstem,M1-Caud,0.66937,0.62113,0.0019,1.435655108287092,1.701805965761697,1.6124056793198063,1.8379609065947553,1.439009856997847,1.9352813173338559
28,Paracentral-Brainstem,S1-Caud,0.00034,0.00036,0.00585,1.435655108287092,1.7833485903210817,1.6124056793198063,1.8918857528443846,1.439009856997847,1.470492020934572
29,Paracentral-Brainstem,Paracentral-Caud,0.31944,0.52997,0.00261,1.435655108287092,1.937980993420645,1.6124056793198063,1.9022046727400277,1.439009856997847,1.6730481831034218
30,Paracentral-Brainstem,M1-Lenti,0.00102,0.0012,1e-05,1.435655108287092,1.7256435746778451,1.6124056793198063,1.792370307339664,1.439009856997847,1.7142317414755406
